example_id                                                | status | run_time        |
--------------------------------------------------------- | ------ | --------------- |
./spec/lib/cops/add_indexes_concurrently_spec.rb[1:1:1:1] | passed | 0.03992 seconds |
./spec/lib/cops/add_indexes_concurrently_spec.rb[1:1:2:1] | passed | 0.00308 seconds |
./spec/lib/cops/add_indexes_concurrently_spec.rb[1:1:3:1] | passed | 0.00307 seconds |
./spec/lib/cops/add_indexes_concurrently_spec.rb[1:2:1:1] | passed | 0.00261 seconds |
./spec/lib/cops/add_indexes_concurrently_spec.rb[1:2:2:1] | passed | 0.00272 seconds |
./spec/lib/cops/add_indexes_concurrently_spec.rb[1:2:3:1] | passed | 0.00143 seconds |
./spec/lib/cops/use_add_index_spec.rb[1:1:1]              | passed | 0.00276 seconds |
./spec/lib/cops/use_add_index_spec.rb[1:2:1]              | passed | 0.00454 seconds |
./spec/lib/cops/use_add_index_spec.rb[1:3:1]              | passed | 0.00166 seconds |
./spec/lib/cops/use_add_index_spec.rb[1:4:1]              | passed | 0.00154 seconds |
